Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.12562045375134,0.130649979636535,0.0424247553275279,0,0,0,1.19489664900539,0.00494800558466651,2.32804416690283E-07,2.1956440853991E-07,0.00527852381114659,-0.000227508420565635,0.00856663809224819,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link0.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link0.STL,,基座_1-1;关节一支撑_v2-1;基座顶盖_1-1;板子1-1;树莓派-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,8.35032309076666E-07,-0.000387617706610092,0.00329169475658608,0,0,0,0.189832654636698,7.01386288071663E-05,-2.71975900701172E-08,-5.3176491463202E-10,0.000145070237898676,-9.83683378052095E-06,0.000149368681624301,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link1.STL,,DM-J4310-1;DM_shaft_extension_joint2_v2_nut-2;link1_2_v6-1;link1_2_holder_v5-1,coordinate1,line1,joint1,continuous,0.125,0.125,0.1055,0,0,0,link0,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link2,0.0787774892671268,0.0784309553080349,0.0270775246902961,0,0,0,0.5621871932262,0.00132772910608749,-0.00130168553650758,-1.0183699483268E-08,0.00173315384377229,1.3847486665605E-08,0.00291527293087798,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link2.STL,,DM_4340-2;DM_adapter_joint2_v4_nut-1;DM_larger_extension_V2-1;6803zz-1;DM_shaft_extension_joint2_v2_nut-3;link2_3_shell_1_v2-1;link2_3_shell_1_v2-2;link2_3_stuff_v4340-1;link2_3_shell_2-2;link2_3_shell_2-3,coordinate2,line2,joint2,continuous,0.0276,0.02,0.0589,1.5708,0,-1.5708,link1,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link3,-0.097805395116776,0.0317827487932699,-0.027039644710942,0,0,0,0.5425457575637,0.00108516659035972,0.00101288108350852,1.71767016326354E-08,0.00146564468575668,1.07899681057246E-08,0.00239159212536702,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link3.STL,,DM_4340-3;DM_larger_extension_V2-2;6803zz-2;DM_shaft_extension_joint2_v2_nut-4;link3_4_shell_2-1;link3_4_stuff_v4340-1;link3_4_shell_2-2;DM_adapter_joint2_v4_nut-4;link3_4_shell_1_L-2;link3_4_shell_1_R-2,coordinate3,line3,joint3,continuous,0.2301,0.22039,2.5E-05,3.1416,0,-0.80696,link2,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link4,-0.0241087324155513,-0.000152673926980124,-0.0236488641606671,0,0,0,0.237984912790182,0.000135583687385593,-8.14264489573747E-07,-1.26053404045704E-09,0.000207316847039799,4.20436273865997E-08,0.00014867633868917,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link4.STL,,DM-J4310-4;DM_adapter_joint2_v4_nut-3;DM_larger_extension_V2-3;link4_5_shell_V2-1;DM_shaft_extension_joint2_v2_nut-5;6803zz-3;YANTERS舵机-1,coordinate4,line4,joint4,continuous,-0.25632,0.15654,-0.0032,0,0,-0.80696,link3,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link5,0.00238884667852846,-0.0121610833620511,0.0433603237885457,0,0,0,0.182394789734618,9.97480031485989E-05,9.04125614745354E-06,-1.76269221055036E-06,0.000170392560639141,1.25883408488176E-05,0.000216280340891141,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/link5.STL,,舵盘-1;camera_holder_V2-1;link5_6_V5-1;YANTERS舵机-2;齿轮齿条固定件-1;导轨^MGN9C导轨滑块-1;齿轮-1,coordinate5,line5,joint5,continuous,-0.099648,-0.011424,-0.0245,3.1223,-1.5708,0,link4,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
fingerlink_R,0.00135856705566337,0.00788196749272896,-0.00970665913680069,0,0,0,0.0404058957986075,1.22950421752594E-05,1.26216943382242E-07,1.48061943892849E-08,1.05866193249968E-05,-1.31236144076966E-06,1.47069514069606E-05,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/fingerlink_R.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/fingerlink_R.STL,,夹爪1-1;finger_adapter-2;齿条-1;滑块^MGN9C导轨滑块-2,coordinate7,line7,FINGER_RIGHT,prismatic,0.023822,-0.00228,0.0871,1.5708,0,-1.5708,link5,0,0,1,0,0,0,0,,,,,,,,
fingerlink_L,0.00786950821511173,-0.00135990732930491,-0.00970665914813451,0,0,0,0.0404058958000485,1.05866193072039E-05,-1.26223128475295E-07,-1.31236145136589E-06,1.22950421489113E-05,-1.48061920056705E-08,1.47069514380754E-05,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/fingerlink_L.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v4.SLDASM/meshes/fingerlink_L.STL,,夹爪1-2;finger_adapter-1;滑块^MGN9C导轨滑块-1;齿条-2,coordinate8,line8,FINGER_L,prismatic,-0.016178,-0.00228,0.08725,0,-1.5708,0,link5,0,0,-1,0,0,0,0,,,,,,,,
