Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.0133470055897431,0.457437807969501,-0.0275827404298519,0,0,0,0.85505019762779,0.00443406576850002,-0.000216132387597278,-2.17640351722505E-07,0.00700830983963866,-2.08585919491685E-07,0.00410488825263743,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link0.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link0.STL,,基座_1-1;关节一支撑_v2-1,coordinate3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.03917039684376E-06,-0.000721472735639734,-0.00340211909351376,0,0,0,0.15246600813643,5.05969811013781E-05,-2.71973341392303E-08,5.32019696643662E-10,8.91233428579098E-05,-4.93964156535137E-06,9.7522906914231E-05,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link1.STL,,DM-J4310-1;DM_shaft_extension_joint2_v2_nut-2;link1_2_v6-1;link1_2_holder_v5-1,coordinate1,line1,joint1,continuous,0.0200000000000042,0.377520246488081,-0.0275749999999952,1.5707963267949,-1.5707963267949,0,link0,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link2,-0.00185889023750316,0.107222903080035,0.0268743519611299,0,0,0,0.453717666834875,0.00201222842395176,-0.000102487183534474,-1.70781403254506E-08,0.000171098379757117,1.52539251927192E-09,0.0020706193316588,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link2.STL,,DM_4340-2;DM_adapter_joint2_v4_nut-1;DM_larger_extension_V2-1;6803zz-1;DM_shaft_extension_joint2_v2_nut-3;link2_3_shell_1_v2-1;link2_3_shell_1_v2-2;link2_3_stuff_v4340-1;link2_3_shell_2-2;link2_3_shell_2-3,coordinate2,line2,joint2,continuous,0.0275999999641092,0.0199999999689605,0.0589000000000009,1.5707963267949,0,-1.5707963267949,link1,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link3,0.043598991740324,-0.0839729535461071,-0.0267774918746218,0,0,0,0.413035103558907,0.00144395062572832,0.000148681085876665,8.50349569593976E-10,0.000193545835302925,1.79337462623341E-08,0.00152394025016061,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link3.STL,,DM_4340-3;DM_larger_extension_V2-2;6803zz-2;DM_shaft_extension_joint2_v2_nut-4;link3_4_shell_2-1;link3_4_stuff_v4340-1;link3_4_shell_2-2;DM_adapter_joint2_v4_nut-4;link3_4_shell_1_L-2;link3_4_shell_1_R-2,coordinate3,line3,joint3,continuous,0,0.31862024648808,2.49999641133147E-05,3.14159265358979,0,0,link2,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link4,-0.0217216875125016,0.00033049897834541,-0.0234588975342074,0,0,0,0.211816244203133,0.000105708003062523,3.9890860323402E-07,-9.44551027625408E-10,0.000155403262304933,4.19692107818996E-08,0.00011917411213665,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link4.STL,,DM-J4310-4;DM_adapter_joint2_v4_nut-3;DM_larger_extension_V2-3;link4_5_shell_V4-1;DM_shaft_extension_joint2_v2_nut-5;6803zz-3;YANTERS舵机-1,coordinate4,line4,joint4,revolute,0.0768333127084071,-0.290347012401545,-0.00319999999999943,0,0,1.5707963267949,link3,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link5,0.0013394,-0.01507,0.050399,0,0,0,0.23729,7.9788E-05,6.3131E-06,-1.2773E-06,0.00025047,9.2639E-06,0.0002831,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/link5.STL,,舵盘-1;camera_holder_V2-1;link5_6_V5-1;YANTERS舵机-2;齿轮齿条固定件-1;导轨^MGN9C导轨滑块-1;齿轮-1;双目摄像头Realsense-1,coordinate5,line5,joint5,revolute,-0.09985,-0.0095,-0.0245,3.1416,-1.5708,0,link4,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
fingerlink_R,0.000954820503611037,0.000242454903527811,-0.0128199696420825,0,0,0,0.0525990958345479,1.05358618830416E-05,8.83239792618609E-08,1.45571643670353E-08,1.02165156724903E-05,-9.18221721791422E-07,1.13270668704294E-05,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/fingerlink_R.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/fingerlink_R.STL,,夹爪1-1;finger_adapter-2;齿条-1;滑块^MGN9C导轨滑块-2,coordinate7,line7,FINGER_RIGHT,prismatic,0.023822460321683,-0.00227999999999988,0.0870999999999997,1.5707963267949,0,-1.5707963267949,link5,0,0,1,0,0,0,0,,,,,,,,
fingerlink_L,0.000168757920926299,-0.000962748098437535,-0.012819969642101,0,0,0,0.0525990958345485,1.02165156724906E-05,-8.83715679875245E-08,-9.18221721791515E-07,1.05358618830418E-05,-1.45571643671312E-08,1.13270668704293E-05,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/fingerlink_L.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v6.SLDASM/meshes/fingerlink_L.STL,,夹爪1-2;finger_adapter-1;滑块^MGN9C导轨滑块-1;齿条-2,coordinate8,line8,FINGER_L,prismatic,-0.016177539678335,-0.00227999999999978,0.0872499999999996,0,-1.5707963267949,0,link5,0,0,-1,0,0,0,0,,,,,,,,
