Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.12576,0.13192,0.027848,0,0,0,0.97561,0.0043815,2.328E-07,2.1956E-07,0.004712,-0.00022751,0.0074374,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link0.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link0.STL,,基座_1-1;关节一支撑_v2-1;板子1-1;树莓派-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.0392E-06,-0.00072147,-0.0034021,0,0,0,0.15247,5.0597E-05,-2.7197E-08,5.3202E-10,8.9123E-05,-4.9396E-06,9.7523E-05,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link1.STL,,DM-J4310-1;DM_shaft_extension_joint2_v2_nut-2;link1_2_v6-1;link1_2_holder_v5-1,coordinate1,line1,joint1,continuous,0.125,0.125,0.1055,0,0,0,link0,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link2,-0.0018589,0.10722,0.026874,0,0,0,0.45372,0.0020122,-0.00010249,-1.7078E-08,0.0001711,1.5254E-09,0.0020706,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link2.STL,,DM_4340-2;DM_adapter_joint2_v4_nut-1;DM_larger_extension_V2-1;6803zz-1;DM_shaft_extension_joint2_v2_nut-3;link2_3_shell_1_v2-1;link2_3_shell_1_v2-2;link2_3_stuff_v4340-1;link2_3_shell_2-2;link2_3_shell_2-3,coordinate2,line2,joint2,continuous,0.0275999999641092,0.0199999999689605,0.0589000000000009,1.5707963267949,0,-1.5707963267949,link1,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link3,0.043599,-0.083973,-0.026777,0,0,0,0.41304,0.001444,0.00014868,8.5035E-10,0.00019355,1.7934E-08,0.0015239,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link3.STL,,DM_4340-3;DM_larger_extension_V2-2;6803zz-2;DM_shaft_extension_joint2_v2_nut-4;link3_4_shell_2-1;link3_4_stuff_v4340-1;link3_4_shell_2-2;DM_adapter_joint2_v4_nut-4;link3_4_shell_1_L-2;link3_4_shell_1_R-2,coordinate3,line3,joint3,continuous,0,0.31862,2.5E-05,3.1416,0,0,link2,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link4,-0.021722,0.0003305,-0.023459,0,0,0,0.21182,0.00010571,3.9891E-07,-9.4455E-10,0.0001554,4.1969E-08,0.00011917,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link4.STL,,DM-J4310-4;DM_adapter_joint2_v4_nut-3;DM_larger_extension_V2-3;link4_5_shell_V4-1;DM_shaft_extension_joint2_v2_nut-5;6803zz-3;YANTERS舵机-1,coordinate4,line4,joint4,continuous,0.076833,-0.29035,-0.0032,0,0,1.5708,link3,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link5,0.0015322,-0.0077541,0.051448,0,0,0,0.19913,7.7676E-05,6.3289E-06,-1.2343E-06,0.00022817,9.0265E-06,0.00025957,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/link5.STL,,舵盘-1;camera_holder_V2-1;link5_6_V5-1;YANTERS舵机-2;齿轮齿条固定件-1;导轨^MGN9C导轨滑块-1;齿轮-1,coordinate5,line5,joint5,continuous,-0.09985,-0.0095,-0.0245,3.1416,-1.5708,0,link4,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
fingerlink_R,0.00095482,0.00024245,-0.01282,0,0,0,0.052599,1.0536E-05,8.8324E-08,1.4557E-08,1.0217E-05,-9.1822E-07,1.1327E-05,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/fingerlink_R.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/fingerlink_R.STL,,夹爪1-1;finger_adapter-2;齿条-1;滑块^MGN9C导轨滑块-2,coordinate7,line7,FINGER_RIGHT,prismatic,0.023822,-0.00228,0.0871,1.5708,0,-1.5708,link5,0,0,1,0,0,0,0,,,,,,,,
fingerlink_L,0.00016876,-0.00096275,-0.01282,0,0,0,0.052599,1.0217E-05,-8.8372E-08,-9.1822E-07,1.0536E-05,-1.4557E-08,1.1327E-05,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/fingerlink_L.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v5.SLDASM.zip/meshes/fingerlink_L.STL,,夹爪1-2;finger_adapter-1;滑块^MGN9C导轨滑块-1;齿条-2,coordinate8,line8,FINGER_L,prismatic,-0.016178,-0.00228,0.08725,0,-1.5708,0,link5,0,0,-1,0,0,0,0,,,,,,,,
