Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.0016561,7.2781E-06,0.020741,0,0,0,0.90937,0.0045628,-2.1764E-07,-0.00021613,0.0041455,-2.0859E-07,0.0070968,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link0.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link0.STL,,基座_1-1;关节一支撑_v2-1;基座侧板_1-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0003533,1.3286E-06,-0.015499,0,0,0,0.35782,0.00014938,8.1591E-08,-5.0233E-06,0.00011082,-1.5959E-09,0.00018158,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link1.STL,,DM-J4310-1;DM_shaft_extension_joint2_v2_nut-2;link1_2_v6-1;link1_2_holder_v5-1,coordinate1,line1,joint1,continuous,0,0,0.102,0,0,0,link0,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link2,0.071245,-0.0012014,-0.028609,0,0,0,0.68284,0.00025252,-0.00010253,-1.2847E-09,0.0020932,5.0937E-08,0.0021652,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link2.STL,,DM_4340-2;DM_adapter_joint2_v4_nut-1;DM_larger_extension_V2-1;6803zz-1;DM_shaft_extension_joint2_v2_nut-3;link2_3_shell_1_v2-1;link2_3_shell_1_v2-2;link2_3_stuff_v4340-1;link2_3_shell_2-2;link2_3_shell_2-3,coordinate2,line2,joint2,continuous,0.02,-0.03155,0.0554,1.5708,-1.5708,0,link1,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
link3,0.053976,0.028052,-0.028406,0,0,0,0.64216,0.0002746,-0.00014855,-5.0732E-08,0.0015253,9.2615E-09,0.0016185,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link3.STL,,DM_4340-3;DM_larger_extension_V2-2;6803zz-2;DM_shaft_extension_joint2_v2_nut-4;link3_4_shell_2-1;link3_4_stuff_v4340-1;link3_4_shell_2-2;DM_adapter_joint2_v4_nut-4;link3_4_shell_1_L-2;link3_4_shell_1_R-2,coordinate3,line3,joint3,continuous,0.31862,0,-2.5E-05,0,0,0,link2,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
link4,0.017954,-0.00039937,-0.024807,0,0,0,0.46259,0.00017396,3.3999E-07,1.4021E-09,0.00022035,-1.2564E-07,0.00021293,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link4.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link4.STL,,DM-J4310-4;DM_adapter_joint2_v4_nut-3;DM_larger_extension_V2-3;link4_5_shell_V4-1;DM_shaft_extension_joint2_v2_nut-5;6803zz-3;YANTERS舵机-1,coordinate4,line4,joint4,revolute,0.29035,0.076833,-0.00365,0,0,0,link3,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
link5,0.016149,0.0041715,0.048405,0,0,0,0.32088,0.00027746,-6.2974E-06,-9.5061E-06,9.1607E-05,-1.3203E-06,0.00031467,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/link5.STL,,舵盘-1;camera_holder_V2-1;link5_6_V5-1;YANTERS舵机-2;齿轮齿条固定件-1;导轨^MGN9C导轨滑块-1;齿轮-1;双目摄像头Realsense-1,coordinate5,line5,joint5,revolute,0.09985,0.0095,-0.028,1.5708,0,1.5708,link4,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
fingerlink_R,0.000954820503614145,0.000242454903524925,-0.0128199696420915,0,0,0,0.0525990958345481,1.05358618830417E-05,8.83239792618617E-08,1.45571643670507E-08,1.02165156724904E-05,-9.18221721791434E-07,1.13270668704294E-05,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/fingerlink_R.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/fingerlink_R.STL,,夹爪1-1;finger_adapter-2;齿条-1;滑块^MGN9C导轨滑块-2,coordinate7,line7,FINGER_RIGHT,prismatic,0.00228,0.0425,0.0871,1.5708,0,0,link5,0,0,1,0,0,0,0.045,,,,,,,,
fingerlink_L,-0.000962748098434815,-0.000168757920923357,-0.0128199696420915,0,0,0,0.0525990958345481,1.05358618830417E-05,8.8371567987561E-08,-1.45571643670452E-08,1.02165156724904E-05,9.18221721791444E-07,1.13270668704294E-05,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/fingerlink_L.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v8.SLDASM/meshes/fingerlink_L.STL,,夹爪1-2;finger_adapter-1;滑块^MGN9C导轨滑块-1;齿条-2,coordinate8,line8,FINGER_L,prismatic,0.00228,-0.0425,0.08725,-1.5708,0,0,link5,0,0,-1,0,0,0,0.045,,,,,,,,
