Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,-1.1589E-12,-2.4683E-05,0.022203,0,0,0,0.64677,0.00093877,1.322E-11,5.0662E-16,0.0014938,2.86E-07,0.0023114,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link0.STL,,PLA底板-2;xs旋转底座24-1;xs旋转连接24-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00027968,-1.1097E-05,-0.0099062,0,0,0,0.40326,0.00022945,8.1588E-08,-1.1192E-05,0.00013813,-2.9776E-09,0.00025905,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link1.STL,,DM-J4310-1;link1_2_holder_v5-1;xs_link1_2_v6_1_24-1;xs02_Arm_Yaw_Limit_24-1,coordinate1,line1,joint1,continuous,0,0,0.067,0,0,0,link0,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link2,0.069138,-0.0019583,-0.028638,0,0,0,0.69693,0.00026315,-0.00010234,-3.267E-09,0.0020828,5.0935E-08,0.0021446,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link2.STL,,DM_4340-2;DM_adapter_joint2_v4_nut-1;DM_larger_extension_V2-1;6803zz-1;DM_shaft_extension_joint2_v2_nut-3;link2_3_shell_1_v2-1;link2_3_shell_1_v2-2;link2_3_stuff_v4340_wider-1;link2_3_shell_2-2;link2_3_shell_2-3;保护板-1,coordinate2,line2,joint2,continuous,0.02,-0.03115,0.0585,1.5708,-1.5708,0,link1,0,0,1,0,0.1,-3.14,3.14,,,,,,,,
link3,0.054018,0.028002,-0.028364,0,0,0,0.64093,0.00027528,-0.00014655,2.8375E-10,0.0014948,-5.1917E-08,0.0015892,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link3.STL,,DM_4340-3;DM_larger_extension_V2-2;6803zz-2;DM_shaft_extension_joint2_v2_nut-4;link3_4_shell_2_v3-1;link3_4_stuff_v4340_wider-1;link3_4_shell_2_v3-2;DM_adapter_joint2_v4_nut-4;link3_4_shell_1_L-2;link3_4_shell_1_R-2,coordinate3,line3,joint3,continuous,0.31862,0,0,0,0,0,link2,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link4,0.019865,-0.0020539,-0.024931,0,0,0,0.4877,0.00020246,6.2992E-06,6.4615E-09,0.00026934,-1.2536E-07,0.00024403,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link4.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link4.STL,,DM-J4310-4;DM_adapter_joint2_v4_nut-3;DM_larger_extension_V2-3;link4_5_shell_V9-1;DM_shaft_extension_joint2_v2_nut-5;6803zz-3;YANTERS舵机-1,coordinate4,line4,joint4,continuous,0.29035,0.076833,-0.00365,0,0,0,link3,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
link5,-0.011789,-0.0028402,0.068578,0,0,0,0.28935,0.00027601,-6.3131E-06,9.501E-06,0.00011004,1.2774E-06,0.00029323,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/link5.STL,,舵盘-1;camera_holder_V2-1;link5_6_V9-1;YANTERS舵机-2;齿轮齿条固定件v2-1;导轨^MGN9C导轨滑块-1;齿轮-1;双目摄像头Realsense-1,coordinate5,line5,joint5,revolute,0.09985,0,-0.028,-1.5708,0,-1.5708,link4,0,0,-1,0,0.1,-3.14,3.14,,,,,,,,
fingerlink_R,0.000949792211478732,0.000241302402831378,-0.0128174035775703,0,0,0,0.0525779477597228,1.05327147378882E-05,9.04687578687825E-08,1.35129160771343E-08,1.02111115701201E-05,-9.18853688739396E-07,1.13222084549432E-05,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/fingerlink_R.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/fingerlink_R.STL,,夹爪1-1;finger_adapter-2;齿条-1;滑块^MGN9C导轨滑块-2,coordinate7,line7,FINGER_RIGHT,prismatic,0,-0.0059728,0.1121,1.5708,0,-3.1416,link5,0,0,1,0,0,0,0.045,,,,,,,,
fingerlink_L,-0.000957722995018961,-0.000167575777591744,-0.0128174035775744,0,0,0,0.0525779477597227,1.05327147378882E-05,9.05163465944645E-08,-1.35129160771307E-08,1.02111115701201E-05,9.18853688739385E-07,1.13222084549431E-05,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/fingerlink_L.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ice_cream_v12.SLDASM/meshes/fingerlink_L.STL,,夹爪1-2;finger_adapter-1;滑块^MGN9C导轨滑块-1;齿条-2,coordinate8,line8,FINGER_L,prismatic,0,0.034027,0.11225,-1.5708,0,-3.1416,link5,0,0,-1,0,0,0,0.045,,,,,,,,
